team,elo_rating,goals_for_roll10,goals_against_roll10,points_roll10,win_rate_roll10,draw_rate_roll10,loss_rate_roll10,last_match_date,matches_used
Abkhazia,1630.3299539429836,1.8,0.7,1.9,0.5,0.4,0.1,2019-06-08,10
Afghanistan,1269.3050870481643,0.4,1.2,0.6,0.1,0.3,0.6,2026-06-01,10
Albania,1648.302097121735,1.0,0.9,1.6,0.5,0.1,0.4,2026-06-03,10
Alderney,1148.768512327189,0.9,3.2,0.6,0.2,0.0,0.8,2022-04-23,10
Algeria,1871.9052069253592,1.9,0.4,2.3,0.7,0.2,0.1,2026-06-03,10
Ambazonia,1392.2124088005844,0.5,2.8333333333333335,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,2007-06-07,6
American Samoa,983.2831256742032,0.6,6.6,0.1,0.0,0.1,0.9,2026-03-28,10
Andalusia,1590.0765374898203,2.3,0.9,2.6,0.8,0.2,0.0,2013-06-07,10
Andorra,1111.5868120891494,0.5,1.5,0.6,0.1,0.3,0.6,2026-06-04,10
Angola,1567.6367397413383,1.1,1.3,1.0,0.2,0.4,0.4,2025-12-29,10
Anguilla,944.476862892133,0.8,2.8,0.6,0.2,0.0,0.8,2026-03-29,10
Antigua and Barbuda,1155.7425051993414,0.3,2.2,0.2,0.0,0.2,0.8,2025-11-18,10
Arameans Suryoye,1547.8846292433382,1.6,1.2,1.7,0.5,0.2,0.3,2014-06-08,10
Argentina,2140.289456135901,2.5,0.4,2.5,0.8,0.1,0.1,2026-03-31,10
Armenia,1411.6084336306244,0.9,3.4,0.4,0.1,0.1,0.8,2026-03-29,10
Artsakh,1558.2326989612905,3.1,1.3,1.9,0.6,0.1,0.3,2019-06-08,10
Aruba,1247.886336917055,1.8,2.0,1.4,0.4,0.2,0.4,2026-03-29,10
Australia,1894.2345135341816,1.4,1.0,1.8,0.6,0.0,0.4,2026-05-30,10
Austria,1849.37244727867,2.7,0.4,2.5,0.8,0.1,0.1,2026-06-01,10
Aymara,1463.1833631032425,0.5,2.0,0.0,0.0,0.0,1.0,2022-06-19,2
Azerbaijan,1384.8025781660008,1.1,2.0,0.6,0.1,0.3,0.6,2026-03-30,10
Bahamas,992.1106302149417,1.2,3.9,0.4,0.1,0.1,0.8,2026-03-29,10
Bahrain,1543.2772278213258,0.9,1.7,0.7,0.2,0.1,0.7,2025-12-09,10
Bangladesh,1156.2325319760366,1.2,1.3,1.3,0.3,0.4,0.3,2026-03-26,10
Barawa,1360.4132438694594,1.4,3.8,0.9,0.3,0.0,0.7,2019-05-25,10
Barbados,1156.6336604745838,1.2,2.3,0.6,0.1,0.3,0.6,2026-03-29,10
Basque Country,1717.6519208808986,2.2,0.7,2.2,0.6,0.4,0.0,2025-11-15,10
Belarus,1535.0565479359996,1.2,2.3,1.1,0.3,0.2,0.5,2026-03-29,10
Belgium,1939.1466948197133,3.6,0.9,2.4,0.7,0.3,0.0,2026-06-02,10
Belize,1304.7151451212703,1.5,2.7,1.0,0.3,0.1,0.6,2026-03-30,10
Benin,1558.274362138951,0.9,1.4,1.5,0.5,0.0,0.5,2026-03-31,10
Bermuda,1321.4472871148953,1.1,2.8,0.7,0.2,0.1,0.7,2026-03-25,10
Bhutan,912.9296333311507,0.3,2.4,0.4,0.1,0.1,0.8,2026-06-04,10
Biafra,1514.9281851128742,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,0.0,0.3333333333333333,2022-05-25,3
Bolivia,1722.2004131428519,0.9,1.3,1.3,0.4,0.1,0.5,2026-03-31,10
Bonaire,1179.9650471458206,0.9,2.2,0.6,0.2,0.0,0.8,2026-03-29,10
Bosnia and Herzegovina,1612.7335680593976,2.0,1.1,1.4,0.3,0.5,0.2,2026-05-29,10
Botswana,1393.2776196953862,0.6,1.8,0.7,0.2,0.1,0.7,2026-03-31,10
Brazil,2036.5110935306477,2.4,1.0,1.9,0.6,0.1,0.3,2026-05-31,10
British Virgin Islands,1048.2888600857225,1.5,1.6,1.1,0.3,0.2,0.5,2026-06-03,10
Brittany,1502.8241809007877,1.1666666666666667,1.0,1.6666666666666667,0.5,0.16666666666666666,0.3333333333333333,2013-05-28,6
Brunei,948.0710998831696,0.4,2.4,0.7,0.2,0.1,0.7,2025-11-18,10
Bulgaria,1515.9405940307338,1.4,2.6,0.9,0.3,0.0,0.7,2026-06-01,10
Burkina Faso,1666.6246869424149,2.0,0.9,2.2,0.7,0.1,0.2,2026-03-31,10
Burundi,1389.3031467574535,0.6,1.4,0.7,0.2,0.1,0.7,2026-05-26,10
Cambodia,1092.5293194276403,1.5,1.8,0.8,0.2,0.2,0.6,2026-06-04,10
Cameroon,1705.605448311315,1.0,0.7,1.7,0.5,0.2,0.3,2026-03-31,10
Canada,1878.5679699012935,1.1,0.4,1.7,0.4,0.5,0.1,2026-06-01,10
Canary Islands,1510.9140125018826,2.75,0.75,2.25,0.75,0.0,0.25,2007-12-29,4
Cape Verde,1673.2507397199297,1.7,1.0,1.7,0.4,0.5,0.1,2026-05-31,10
Cascadia,1545.7270434192246,3.2857142857142856,2.0,1.8571428571428572,0.5714285714285714,0.14285714285714285,0.2857142857142857,2019-05-25,7
Catalonia,1644.6262941967752,2.1,1.1,1.9,0.5,0.4,0.1,2019-03-25,10
Cayman Islands,1096.2374637902199,0.9,1.7,1.1,0.3,0.2,0.5,2026-03-29,10
Central African Republic,1367.5332786300178,0.6,2.2,0.7,0.2,0.1,0.7,2025-10-12,10
Chad,1242.0903080359146,0.8,2.1,0.3,0.0,0.3,0.7,2025-11-17,10
Chagos Islands,1360.036699482802,1.5,5.6,0.4,0.1,0.1,0.8,2019-12-29,10
Chameria,1553.8576964192962,2.0,1.1428571428571428,1.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,2023-07-01,7
Chechnya,1451.2956198813783,1.0,9.666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,2006-02-18,3
Chile,1768.1420739194048,1.1,1.4,1.4,0.4,0.2,0.4,2026-03-30,10
China PR,1556.4099995113713,0.9,1.2,1.3,0.4,0.1,0.5,2026-03-31,10
Cilento,1490.667744441049,0.0,2.0,0.0,0.0,0.0,1.0,2011-12-29,1
Colombia,2018.8267068785929,2.4,1.1,2.0,0.6,0.2,0.2,2026-06-01,10
Comoros,1462.188647455993,1.1,1.5,0.7,0.1,0.4,0.5,2026-03-31,10
Congo,1327.272954057558,0.6,2.3,0.5,0.1,0.2,0.7,2025-10-14,10
Cook Islands,1181.6604226056095,0.5,3.3,0.6,0.2,0.0,0.8,2024-09-06,10
Corsica,1533.0697960363036,1.0,0.625,1.625,0.375,0.5,0.125,2017-05-26,8
Costa Rica,1727.9416952652641,1.3,1.8,0.9,0.1,0.6,0.3,2026-06-01,10
County of Nice,1591.3651993349563,2.111111111111111,1.4444444444444444,2.111111111111111,0.6666666666666666,0.1111111111111111,0.2222222222222222,2015-06-21,9
Crimea,1511.1728076357697,1.4,2.2,1.8,0.6,0.0,0.4,2006-11-25,5
Croatia,1944.0181825925774,2.2,1.0,2.2,0.7,0.1,0.2,2026-06-02,10
Cuba,1436.709875313263,1.0,1.9,1.1,0.3,0.2,0.5,2026-03-29,10
Curaçao,1607.956847789641,1.6,1.6,1.2,0.3,0.3,0.4,2026-05-30,10
Cyprus,1329.4028578524344,1.4,1.7,0.9,0.2,0.3,0.5,2026-06-04,10
Czech Republic,1766.7373053267156,2.2,0.9,1.9,0.5,0.4,0.1,2026-06-04,10
Czechoslovakia,1619.9248158331395,2.1,0.9,1.7,0.4,0.5,0.1,1993-11-17,10
DR Congo,1754.4772124131055,1.1,0.3,2.1,0.6,0.3,0.1,2026-06-03,10
Darfur,1278.0525286095285,0.14285714285714285,14.142857142857142,0.0,0.0,0.0,1.0,2014-06-07,7
Denmark,1877.578776185239,2.7,0.9,1.9,0.5,0.4,0.1,2026-06-03,10
Djibouti,1085.4044753364299,0.5,2.7,0.2,0.0,0.2,0.8,2025-11-26,10
Dominica,1201.6043667443055,0.7,1.8,0.7,0.1,0.4,0.5,2026-03-30,10
Dominican Republic,1481.1655458639261,1.0,1.6,0.7,0.1,0.4,0.5,2026-06-03,10
Donetsk PR,1511.8909804125665,1.3333333333333333,1.1666666666666667,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2017-08-31,6
Délvidék,1500.3184299242762,2.0,1.5,1.5,0.5,0.0,0.5,2016-08-03,2
East Turkestan,1459.8576710776756,3.0,3.2,1.2,0.4,0.0,0.6,2025-07-04,5
Ecuador,1993.156337801992,0.9,0.5,1.6,0.3,0.7,0.0,2026-05-30,10
Egypt,1785.942191985814,1.4,0.5,2.1,0.6,0.3,0.1,2026-05-28,10
El Salvador,1500.0914609219678,0.5,1.6,0.7,0.2,0.1,0.7,2026-06-03,10
Elba Island,1506.8720666538777,5.0,0.0,3.0,1.0,0.0,0.0,2022-07-16,1
Ellan Vannin,1570.4306317038386,1.6,1.4,1.5,0.4,0.3,0.3,2018-06-03,10
England,2038.58819040928,2.2,0.5,2.2,0.7,0.1,0.2,2026-03-31,10
Equatorial Guinea,1453.3815831205036,0.8,1.6,0.8,0.2,0.2,0.6,2026-03-31,10
Eritrea,1200.6506667225663,0.4,2.1,0.1,0.0,0.1,0.9,2019-09-10,10
Estonia,1373.5036762402328,0.9,2.2,0.6,0.1,0.3,0.6,2026-03-30,10
Eswatini,1319.1055335669414,0.7,2.4,0.5,0.0,0.5,0.5,2025-10-13,10
Ethiopia,1384.858552156151,1.1,2.0,0.9,0.3,0.0,0.7,2025-10-12,10
Falkland Islands,1227.9518018577146,0.7,3.3,0.1,0.0,0.1,0.9,2023-07-13,10
Faroe Islands,1393.3350276808003,1.3,0.9,1.8,0.6,0.0,0.4,2026-03-28,10
Felvidék,1508.771564116826,1.1,1.6,1.4,0.4,0.2,0.4,2017-06-09,10
Fiji,1445.196840490592,0.9,2.9,0.7,0.1,0.4,0.5,2025-11-20,10
Finland,1584.085732203011,1.2,1.6,1.3,0.4,0.1,0.5,2026-05-31,10
France,2092.1195967806043,2.4,0.8,2.5,0.8,0.1,0.1,2026-06-04,10
Franconia,1478.6609761674115,2.6666666666666665,3.6666666666666665,2.0,0.6666666666666666,0.0,0.3333333333333333,2019-06-25,3
French Guiana,1462.9751462994816,1.7,1.5,1.1,0.3,0.2,0.5,2024-11-19,10
Frøya,1202.026508470722,1.3,3.9,0.4,0.1,0.1,0.8,2025-07-17,10
Gabon,1537.3216887251822,1.8,1.9,1.1,0.3,0.2,0.5,2026-03-30,10
Galicia,1517.5553382873404,1.5,2.125,1.5,0.375,0.375,0.25,2024-05-21,8
Gambia,1531.9246307159005,2.2,1.6,1.4,0.4,0.2,0.4,2026-05-29,10
Georgia,1653.714557790123,1.3,1.9,0.9,0.2,0.3,0.5,2026-06-02,10
German DR,1545.0533797538749,1.8571428571428572,1.2857142857142858,2.2857142857142856,0.7142857142857143,0.14285714285714285,0.14285714285714285,1990-09-12,7
Germany,1960.8288135391394,2.6,0.9,2.4,0.8,0.0,0.2,2026-05-31,10
Ghana,1630.16653340383,1.1,1.4,1.1,0.3,0.2,0.5,2026-06-02,10
Gibraltar,1099.545394286825,0.6,2.8,0.3,0.1,0.0,0.9,2026-06-03,10
Gotland,1449.4722515395322,2.9,1.9,0.9,0.3,0.0,0.7,2017-06-29,10
Gozo,1471.9217484346307,2.6,1.4,1.4,0.4,0.2,0.4,2025-07-17,10
Greece,1760.7398174643351,1.6,1.5,1.2,0.3,0.3,0.4,2026-06-04,10
Greenland,1477.227686342062,1.4,2.2,1.5,0.4,0.3,0.3,2024-06-01,10
Grenada,1299.7271535175983,1.7,2.1,1.5,0.5,0.0,0.5,2026-05-16,10
Guadeloupe,1540.3979170381986,1.5,1.1,1.6,0.5,0.1,0.4,2025-06-24,10
Guam,1039.350224366167,1.4,2.4,0.7,0.2,0.1,0.7,2026-06-03,10
Guatemala,1634.5850742843572,1.1,2.2,0.9,0.2,0.3,0.5,2026-06-04,10
Guernsey,1754.652557300526,2.3,1.0,1.8,0.6,0.0,0.4,2023-07-13,10
Guinea,1571.0168140831295,1.2,0.9,1.3,0.3,0.4,0.3,2026-06-04,10
Guinea-Bissau,1369.3454887771602,0.6,1.7,0.5,0.1,0.2,0.7,2026-03-31,10
Guyana,1500.2426032223989,2.6,1.2,2.4,0.8,0.0,0.2,2026-03-30,10
Găgăuzia,1435.2663235731095,0.6666666666666666,3.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,2006-11-21,3
Haiti,1718.1251070255037,1.5,1.0,1.5,0.4,0.3,0.3,2026-06-02,10
Hitra,1354.6073354279492,2.3,2.9,1.3,0.4,0.1,0.5,2025-07-17,10
Hmong,1460.8912950689446,2.0,3.3333333333333335,1.0,0.3333333333333333,0.0,0.6666666666666666,2023-08-08,3
Honduras,1689.808690427947,1.0,0.7,1.4,0.3,0.5,0.2,2026-03-31,10
Hong Kong,1361.5175748406868,1.9,0.9,1.6,0.4,0.4,0.2,2025-11-18,10
Hungary,1726.4145122045613,1.4,1.3,1.5,0.4,0.3,0.3,2026-03-31,10
Iceland,1602.3781414975406,1.6,1.9,0.9,0.2,0.3,0.5,2026-05-31,10
India,1264.8959104762764,0.6,1.1,0.6,0.1,0.3,0.6,2026-05-30,10
Indonesia,1485.9572395740572,1.5,1.6,1.3,0.4,0.1,0.5,2026-03-30,10
Iran,1888.720390738113,1.7,0.6,1.7,0.5,0.2,0.3,2026-06-04,10
Iraq,1748.1676789522703,1.1,0.8,1.8,0.5,0.3,0.2,2026-06-04,10
Iraqi Kurdistan,1647.8251150066799,2.3,0.9,1.5,0.3,0.6,0.1,2016-06-04,10
Isle of Man,1716.9485759697977,3.5,1.2,2.1,0.7,0.0,0.3,2025-07-18,10
Isle of Wight,1664.1214548436642,1.9,0.9,2.2,0.7,0.1,0.2,2023-07-13,10
Israel,1655.192474984854,1.9,1.7,1.7,0.5,0.2,0.3,2026-06-03,10
Italy,1879.2341904625703,2.5,1.0,2.5,0.8,0.1,0.1,2026-06-03,10
Ivory Coast,1799.019868650151,1.9,0.8,2.2,0.7,0.1,0.2,2026-06-04,10
Jamaica,1670.8933732996886,1.1,0.7,1.7,0.5,0.2,0.3,2026-05-30,10
Japan,1988.638674456006,1.9,0.6,2.3,0.7,0.2,0.1,2026-05-31,10
Jersey,1814.3975304136798,2.7,1.0,2.5,0.8,0.1,0.1,2025-07-18,10
Jordan,1768.299301040346,1.9,1.6,1.7,0.5,0.2,0.3,2026-05-31,10
Kabylia,1456.7730942415883,1.3333333333333333,2.5,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.5,2018-06-09,6
Kazakhstan,1477.0622781667817,1.0,1.5,1.1,0.3,0.2,0.5,2026-03-31,10
Kenya,1469.8407204744206,1.4,1.7,1.5,0.4,0.3,0.3,2026-06-04,10
Kernow,1610.3213793532436,2.888888888888889,0.8888888888888888,2.4444444444444446,0.7777777777777778,0.1111111111111111,0.1111111111111111,2023-07-16,9
Kiribati,1292.8398792156745,0.5,10.75,0.0,0.0,0.0,1.0,2011-09-05,8
Kosovo,1719.0542279688948,1.5,1.3,1.7,0.5,0.2,0.3,2026-05-31,10
Kurdistan,1568.8194987059726,2.4,0.4,2.6,0.8,0.2,0.0,2013-06-28,5
Kuwait,1470.302149314112,1.3,2.2,0.9,0.2,0.3,0.5,2025-12-09,10
Kyrgyzstan,1464.5126084396031,1.2,2.0,0.8,0.2,0.2,0.6,2026-03-28,10
Kárpátalja,1608.868762326823,2.4,1.2,1.9,0.5,0.4,0.1,2018-06-09,10
Laos,978.6100212272879,1.1,2.9,0.5,0.1,0.2,0.7,2025-11-19,10
Latvia,1317.0303667047829,0.5,1.5,0.7,0.1,0.4,0.5,2025-11-16,10
Lebanon,1462.7456517037065,2.1,0.5,1.8,0.5,0.3,0.2,2025-11-26,10
Lesotho,1414.4596917636613,0.7,1.9,0.9,0.2,0.3,0.5,2026-06-04,10
Liberia,1428.790409683834,1.1,1.9,0.9,0.2,0.3,0.5,2026-03-31,10
